TrackURI,Genre,track,Preview,Singers,Artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
14EORgkbXqIx5K4Haucmnb,Rock,Absolute Zero,https://p.scdn.co/mp3-preview/983929e901391ec240108eec4f74227566991fc1?cid=b82fb22d072d4120850c99225ff01644,Stone Sour,spotify:artist:49qiE8dj4JuNdpYGRPdKbF,0.552,0.988,-2.555,0.0787,0.000108,0.309,0.846,0.619,139.941
0tZ3mElWcr74OOhKEiNz1x,Rock,Bulls On Parade,https://p.scdn.co/mp3-preview/9a0a212b91ae9561473158a58852f10d91a32440?cid=b82fb22d072d4120850c99225ff01644,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,0.412,0.919,-7.291,0.184,0.0124,0.0601,0.424,0.572,166.367
1Y373MqadDRtclJNdnUXVc,Rock,Paranoid - 2012 - Remaster,https://p.scdn.co/mp3-preview/131d70c378afc18cbd141cca3b68998ec2f05d8b?cid=b82fb22d072d4120850c99225ff01644,Black Sabbath,spotify:artist:5M52tdBnJaKSvOpJGz8mfZ,0.412,0.658,-12.051,0.0708,4.52E-05,0.000774,0.176,0.454,163.071
7MH6q8Jhw7O4EN889zNnDL,Rock,"The Number of the Beast - Live At Estadio Nacional, Santiago",https://p.scdn.co/mp3-preview/cb617a0803fb11faf8427ff4b306d4b429e7be22?cid=b82fb22d072d4120850c99225ff01644,Iron Maiden,spotify:artist:6mdiAmATAx73kdxrNrnlao,0.294,0.938,-7.556,0.108,0.00096,0.00154,0.959,0.373,97.865
7fcfNW0XxTWlwVlftzfDOR,Rock,Walk,https://p.scdn.co/mp3-preview/14e66cb261d6027f14d31e7d247b2281b9e79e71?cid=b82fb22d072d4120850c99225ff01644,Pantera,spotify:artist:14pVkFUHDL207LzLHtSA18,0.43,0.704,-8.008,0.0804,0.000155,0.00221,0.0933,0.703,118.242
7x8dCjCr0x6x2lXKujYD34,Rock,The Pretender,https://p.scdn.co/mp3-preview/6aba2f4e671ffe07fd60807ca5fef82d48146d4c?cid=b82fb22d072d4120850c99225ff01644,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,0.433,0.959,-4.04,0.0431,0.000917,0,0.028,0.365,172.984
52UWtKlYjZO3dHoRlWuz9S,Rock,Thunderstruck,https://p.scdn.co/mp3-preview/35a6a4879252e03aff998fb673cc3c63b4eae042?cid=b82fb22d072d4120850c99225ff01644,AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un,0.495,0.892,-5.601,0.0349,0.000128,0.0216,0.207,0.231,133.474
08mG3Y1vljYA6bvDt4Wqkj,Rock,Back In Black,https://p.scdn.co/mp3-preview/506bc9a0485990973449b0467791e06174371284?cid=b82fb22d072d4120850c99225ff01644,AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un,0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386
1EHNrwZlxW9Wp07Ohv1Jbw,Rock,T.N.T.,https://p.scdn.co/mp3-preview/2d38c0037a01df761e4c5447538c07a14d2344fc?cid=b82fb22d072d4120850c99225ff01644,AC/DC,spotify:artist:711MCceyCBcFnzjGY4Q7Un,0.749,0.756,-5.246,0.3,0.159,0.000177,0.106,0.488,126.324
46QazXxQS0B31CnbRCy8CV,Rock,Rock You Like a Hurricane,https://p.scdn.co/mp3-preview/604a5b0a71fcb4566c324f6a27d384898e82c6e7?cid=b82fb22d072d4120850c99225ff01644,Scorpions,spotify:artist:27T030eWyCQRmDyuvr1kxY,0.587,0.891,-3.381,0.0361,0.000261,0.00454,0.314,0.705,124.005
