,danceability,energy,loudness,acousticness,instrumentalness,liveness,valence,tempo,Genre
0,0.486,0.937,-2.866,0.0404,2.26e-06,0.108,0.68,149.925,yodel
1,0.479,0.834,-4.246,0.0883,0.0,0.494,0.893,125.433,yodel
2,0.574,0.771,-5.461,0.707,0.0,0.141,0.962,125.092,yodel
3,0.521,0.732,-4.321,0.352,0.0,0.049,0.965,127.093,yodel
4,0.537,0.597,-4.319,0.605,0.0,0.0653,0.933,108.774,yodel
5,0.599,0.735,-4.262,0.499,0.0,0.0566,0.963,113.398,yodel
6,0.415,0.407,-5.867,0.737,0.0,0.123,0.532,97.788,yodel
7,0.457,0.687,-4.269,0.278,0.0,0.0321,0.791,100.12,yodel
8,0.538,0.638,-4.144,0.412,0.0,0.043,0.927,137.808,yodel
9,0.596,0.771,-4.124,0.662,0.0,0.0973,0.836,120.381,yodel
10,0.492,0.351,-6.896,0.609,0.0,0.0932,0.475,99.929,yodel
11,0.397,0.597,-5.803,0.241,0.0,0.249,0.551,123.821,yodel
12,0.461,0.625,-3.899,0.599,0.0,0.064,0.831,123.799,yodel
13,0.547,0.648,-4.128,0.48,0.0,0.268,0.872,133.641,yodel
14,0.489,0.77,-5.786,0.462,0.0,0.148,0.921,118.782,yodel
15,0.576,0.213,-7.825,0.724,1.37e-06,0.116,0.344,97.41,yodel
16,0.502,0.723,-4.374,0.473,0.000129,0.11,0.961,121.177,yodel
17,0.614,0.761,-4.434,0.057,0.0,0.214,0.954,131.644,yodel
18,0.495,0.646,-7.103,0.135,0.682,0.066,0.961,130.354,yodel
19,0.739,0.727,-4.284,0.642,0.0,0.0998,0.968,116.312,yodel
20,0.615,0.695,-4.161,0.665,0.0,0.0525,0.97,131.226,yodel
21,0.499,0.702,-5.223,0.651,0.0,0.0803,0.907,127.028,yodel
22,0.423,0.805,-4.082,0.447,0.0,0.317,0.424,123.364,yodel
23,0.373,0.705,-5.775,0.364,6.56e-06,0.135,0.764,124.745,yodel
24,0.644,0.468,-5.199,0.591,0.0,0.0453,0.856,120.881,yodel
25,0.388,0.503,-5.743,0.121,0.0,0.184,0.31,176.154,yodel
26,0.627,0.581,-7.302,0.726,1.4e-06,0.102,0.966,131.466,yodel
27,0.636,0.698,-5.117,0.718,0.0,0.204,0.921,108.023,yodel
28,0.299,0.551,-4.809,0.746,0.0,0.0833,0.61,97.708,yodel
