,TrackURI,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
0,spotify:track:2ufLEVbzvEcJ3subW8jBUp,,,,,,,,,,
1,spotify:track:4sNiMTu47WkUgW87qeUlWF,Mere Rashke Qamar,0.404,2.5e-05,0.83,0.0505,0.124,-5.488,0.718,105.012,0.771
2,spotify:track:4tMwHkxBwnGkts9mxFpwQy,Medley: Kehna Galat Galat / Halka Halka Suroor,0.484,0.0,0.506,0.037,0.0944,-8.579,0.731,114.986,0.703
3,spotify:track:5wNpnKRUxbPoIpDXFZ5NkU,Sochta Houn,0.356,0.000605,0.634,0.132,0.0733,-5.895,0.8,100.001,0.46
4,spotify:track:46Y6dCrKdAiQeelp9px3ww,Dil Pe Zakhm,0.293,1.13e-05,0.755,0.0463,0.141,-6.573,0.377,91.789,0.665
5,spotify:track:0Iz4CkptElGHo16r797Jsb,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",0.424,0.0,0.828,0.0782,0.145,-4.846,0.799,105.04,0.627
6,spotify:track:7nr3RAMpV11jb07Rw2sfzk,Dil Pe Zakham Khate Hain,0.173,0.433,0.55,0.189,0.0937,-7.747,0.788,101.953,0.497
7,spotify:track:4faUCG0CdNgMx0NkMMseOl,Dillagi,0.385,0.0,0.759,0.047,0.162,-4.029,0.585,139.986,0.512
8,spotify:track:1bjVZ85Wr90swSeNub1F79,Kali Kali Zulfon Ke Phande Na Dalo,0.573,0.0,0.694,0.0621,0.874,-8.486,0.4,153.902,0.727
9,spotify:track:1bJAynHEPbXhmaezqhnPTu,Tumhe Dil Lagi Bhool Jani Padegi,0.17,0.0,0.642,0.246,0.262,-11.835,0.514,78.657,0.81
10,spotify:track:7cWnks0lsRtpAi87COOiXK,O Re Piya,0.779,0.000565,0.532,0.0328,0.124,-8.837,0.586,99.994,0.494
11,spotify:track:3nKEiJUeaWn8q2O9I1xwlB,Shukran Allah,0.732,0.0014,0.695,0.111,0.274,-8.022,0.432,116.153,0.513
12,spotify:track:74AqVxZ3oXwJ8olHssBUG3,Ainvayi Ainvayi,0.0339,0.0046,0.742,0.0413,0.0928,-7.571,0.689,155.986,0.876
