Singers,Genre
112,Blues
311,Rock
2 Chainz,Hip-Hop
21 Savage,Rap
6LACK,Hip-Hop
A Boogie Wit da Hoodie,Rap
A R I Z O N A,EDM
A$AP Ferg,Hip-Hop
A$AP Rocky,Hip-Hop
Aaliyah,Blues
Aaron Copland,Classical
Abida Parveen,Ghazal
AC/DC,Rock
Academy of St. Martin in the Fields,Classical
Accept,Rock
Adina Howard,Blues
Aerosmith,Rock
Afrojack,EDM
Alessandro Scarlatti,Classical
Alice Cooper,Rock
Alice In Chains,Rock
Alicia Keys,Blues
Alina Baraz,Pop
All-4-One,Blues
Aloe Blacc,Blues
America,Rock
Amerie,Blues
Amir Khusrow,Qawwali
Andy Grammer,Pop
Anne-Marie,Pop
Anthony Hamilton,Blues
Anton Webern,Classical
Antonio Vivaldi,Classical
Anup Jalota,Ghazal
Aram Khachaturian,Classical
Ari Lennox,Blues
Arnold Schoenberg,Classical
ARTY,EDM
Ashanti,Blues
Astrid S,Pop
Audioslave,Rock
August Alsina,Blues
Autograf,EDM
Ava Max,Pop
Az Yet,Blues
Aziz Mian,Qawwali
B.o.B,Hip-Hop
B2K,Blues
Baby Bash,Blues
Babyface,Blues
Backstreet Boys,Pop
Bavarian Radio Symphony Orchestra,Classical
Beanie Sigel,Hip-Hop
Bebe Rexha,Pop
Becky G,Pop
Becky Hill,Pop
Begum Akhtar,Ghazal
Beyonce,Pop
Bhad Bhabie,Pop
Big Pun,Hip-Hop
Big Sean,Hip-Hop
Bilal,Hip-Hop
Billy Joel,Rock
Birdman,Rap
Birdy,Pop
Black Label Society,Rock
Black Pistol Fire,Rock
Black Rebel Motorcycle Club,Rock
Black Sabbath,Rock
Blackberry Smoke,Rock
Blueyster Cult,Rock
Bob Dylan,Rock
Bone Thugs-N-Harmony,Hip-Hop
Bono,Rock
Boston,Rock
Boston Symphony Orchestra,Classical
Bougenvilla,EDM
Bow Wow,Blues
Boyz II Men,Blues
Brandy,Blues
Brent Faiyaz,Hip-Hop
Bruce Dickinson,Metal
Bruce Springsteen,Rock
Bruno Mars,Pop
Bryson Tiller,Blues
Buddy Guy,Blues
Buffalo Springfield,Rock
Busta Rhymes,Hip-Hop
Cake,Rock
Calboy,Rap
Calum Scott,Pop
Calvin Harris,EDM
Camille Saint-SaÃ«ns,Classical
Candlebox,Rock
Cardi B,Pop
Carl Maria von Weber,Classical
Carl Philipp Emanuel Bach,Classical
Cash Cash,EDM
Cassie,Blues
Chance the Rapper,Hip-Hop
Charles Gounod,Classical
Cheap Trick,Rock
Cheat Codes,Pop
Chelsea Cutler,Pop
Chester Bennington,Rock
Chicago Symphony Orchestra,Classical
Childish Gambino,Hip-Hop
Chitra Singh,Ghazal
Chloe x Halle,Blues
Chris Brown,Blues
Christina Aguilera,Pop
Christopher Williams,Blues
Ciara,Blues
Clara Mae,Pop
Claude Debussy,Classical
Claudio Monteverdi,Classical
Cleveland Orchestra,Classical
Clinton Kane,Pop
Coldplay,Pop
Color Me Badd,Blues
Comethazine,Rap
Conor Maynard,Pop
Cordae,Hip-Hop
Corey Taylor,Metal
"Crosby, Stills & Nash",Rock
DaBaby,Rap
D'Angelo,Hip-Hop
Daniel Barenboim,Classical
Daniel Caesar,Pop
Daryl Hall & John Oates,Rock
David Bowie,Rock
David Gilmour,Rock
David Guetta,EDM
Daya,Pop
Deborah Cox,Blues
Deep Purple,Rock
Def Leppard,Rock
Deftones,Rock
DeJ Loaf,Rap
Denzel Curry,Hip-Hop
Destiny's Child,Blues
Diddy,Blues
Diplo,EDM
Dire Straits,Rock
DJ Drama,Hip-Hop
DJ Jazzy Jeff & The Fresh Prince,Hip-Hop
DJ Khaled,Rap
Dmitri Shostakovich,Classical
Doja Cat,Pop
Dom Kennedy,Hip-Hop
Dombresky,EDM
Domenico Scarlatti,Classical
Don Diablo,Pop
Don Toliver,Rap
Donell Jones,Blues
Donovan,Rock
Drake,Hip-Hop
Dream Theater,Rock
Dua Lipa,Pop
dvsn,Blues
E-40,Hip-Hop
Eagles,Rock
Eamon,Blues
Eazy-E,Hip-Hop
Echo & the Bunnymen,Rock
Ed Sheeran,Pop
Eddie Money,Rock
Edvard Grieg,Classical
Edward Elgar,Classical
EDX,EDM
Electric Light Orchestra,Rock
Ella Henderson,Pop
Ella Mai,Blues
Eminem,Hip-Hop
En Vogue,Blues
Eric Bellinger,Blues
Erik Satie,Classical
Etta James,Blues
Europe,Rock
Fabolous,Blues
Faces,Rock
Faith Evans,Blues
Faith No More,Rock
Famous Dex,Hip-Hop
Fareed Ayaz,Qawwali
Farrukh Fateh Ali Khan,Qawwali
Fat Joe,Hip-Hop
Fateh Ali Khan,Qawwali
Father John Misty,Rock
Felix Jaehn,EDM
Ferreck Dawn,EDM
Fetty Wap,Rap
Fivio Foreign,Rap
Fleetwood Mac,Rock
Flipp Dinero,Hip-Hop
Flo Rida,Pop
Foals,Rock
Foghat,Rock
Foo Fighters,Rock
Foreigner,Rock
Foxes,Pop
Chopin,Classical
Francis Poulenc,Classical
Frank Ocean,Hip-Hop
Frankie J,Blues
Franz Joseph Haydn,Classical
Franz Liszt,Classical
Franz Schubert,Classical
Frederick Delius,Classical
French Montana,Hip-Hop
Fritz Kreisler,Classical
Fuel,Rock
Fugees,Hip-Hop
Future,Rap
G Herbo,Rap
Galantis,Pop
Gavin James,Pop
G-Eazy,Hip-Hop
Georg Philipp Telemann,Classical
George Frideric Handel,Classical
Georges Bizet,Classical
Ghulam Ali,Ghazal
Giacomo Puccini,Classical
Ginuwine,Blues
Gioachino Rossini,Classical
Giovanni Battista Pergolesi,Classical
Giuseppe Tartini,Classical
Giuseppe Verdi,Classical
Glenn Gould,Classical
GoldLink,Hip-Hop
Gordon Lightfoot,Rock
Gov't Mule,Rock
Grateful Dead,Rock
Gryffin,EDM
Gucci Mane,Hip-Hop
Gunna,Rap
Gustav Mahler,Classical
H.E.R.,Blues
Hariharan,Ghazal
Hector Berlioz,Classical
Heitor Villa-Lobos,Classical
Henry Purcell,Classical
Hi-Five,Blues
Hogland,EDM
HoodRich Pablo Juan,Rap
Houndmouth,Rock
Hozier,Pop
H-Town,Blues
Humble Pie,Rock
Icona Pop,Pop
Igor Stravinsky,Classical
Imagine Dragons,Rock
Incubus,Rock
