Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:4sNiMTu47WkUgW87qeUlWF,https://p.scdn.co/mp3-preview/5e7533916e316d37363f479fc61bf2797f883cc9?cid=6f8bb3e64c2944d586037b9907043601,Mere Rashke Qamar,0.404,2.50E-05,0.83,0.0505,0.124,-5.488,0.718,105.012,0.771
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:4tMwHkxBwnGkts9mxFpwQy,https://p.scdn.co/mp3-preview/c14827a65208f44b36e380942ecaec5db72452bd?cid=6f8bb3e64c2944d586037b9907043601,Medley: Kehna Galat Galat / Halka Halka Suroor,0.484,0,0.506,0.037,0.0944,-8.579,0.731,114.986,0.703
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:5wNpnKRUxbPoIpDXFZ5NkU,https://p.scdn.co/mp3-preview/66aaf3d7dad3d07625bb114d16cc60455d24b2ee?cid=6f8bb3e64c2944d586037b9907043601,Sochta Houn,0.356,0.000605,0.634,0.132,0.0733,-5.895,0.8,100.001,0.46
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:46Y6dCrKdAiQeelp9px3ww,https://p.scdn.co/mp3-preview/2158f8af0250e98d21c1d33e2ec3356c619f0c15?cid=6f8bb3e64c2944d586037b9907043601,Dil Pe Zakhm,0.293,1.13E-05,0.755,0.0463,0.141,-6.573,0.377,91.789,0.665
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:0Iz4CkptElGHo16r797Jsb,https://p.scdn.co/mp3-preview/c197f1f92b368b8ca98f2d058e03fc5b446695a9?cid=6f8bb3e64c2944d586037b9907043601,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",0.424,0,0.828,0.0782,0.145,-4.846,0.799,105.04,0.627
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:7nr3RAMpV11jb07Rw2sfzk,https://p.scdn.co/mp3-preview/296df0b9553959f5436e2812208da38e1dcb8924?cid=6f8bb3e64c2944d586037b9907043601,Dil Pe Zakham Khate Hain,0.173,0.433,0.55,0.189,0.0937,-7.747,0.788,101.953,0.497
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:4faUCG0CdNgMx0NkMMseOl,https://p.scdn.co/mp3-preview/23090d93cf21af84e7c73225252a433f18d94840?cid=6f8bb3e64c2944d586037b9907043601,Dillagi,0.385,0,0.759,0.047,0.162,-4.029,0.585,139.986,0.512
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:1bjVZ85Wr90swSeNub1F79,https://p.scdn.co/mp3-preview/17cc52d749cab7a5afeea06a022851e09d5e5735?cid=6f8bb3e64c2944d586037b9907043601,Kali Kali Zulfon Ke Phande Na Dalo,0.573,0,0.694,0.0621,0.874,-8.486,0.4,153.902,0.727
Nusrat Fateh Ali Khan,Qawwali,spotify:artist:5HcunTidTUrOaf8V0iJcvl,spotify:track:1bJAynHEPbXhmaezqhnPTu,https://p.scdn.co/mp3-preview/9d5ee1f5a2527e86b10f4027557343dd484f20f9?cid=6f8bb3e64c2944d586037b9907043601,Tumhe Dil Lagi Bhool Jani Padegi,0.17,0,0.642,0.246,0.262,-11.835,0.514,78.657,0.81
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:7cWnks0lsRtpAi87COOiXK,https://p.scdn.co/mp3-preview/d60ec3465a3f15080b2a1d7bebd2544ff7621052?cid=6f8bb3e64c2944d586037b9907043601,O Re Piya,0.779,0.000565,0.532,0.0328,0.124,-8.837,0.586,99.994,0.494
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:3nKEiJUeaWn8q2O9I1xwlB,https://p.scdn.co/mp3-preview/1a403c640cb76e48754b1d337fb450185e3771c4?cid=6f8bb3e64c2944d586037b9907043601,Shukran Allah,0.732,0.0014,0.695,0.111,0.274,-8.022,0.432,116.153,0.513
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:74AqVxZ3oXwJ8olHssBUG3,https://p.scdn.co/mp3-preview/963d72761ae997ae55ea43bde7c0c98b1af57906?cid=6f8bb3e64c2944d586037b9907043601,Ainvayi Ainvayi,0.0339,0.0046,0.742,0.0413,0.0928,-7.571,0.689,155.986,0.876
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:5DyYcwMw0f6z3FefXNLOHv,https://p.scdn.co/mp3-preview/095a2e524ed4c5888140873e0c4d0a28c2d25b7b?cid=6f8bb3e64c2944d586037b9907043601,Ishq Hua,0.657,0.00552,0.745,0.108,0.117,-7.914,0.405,87.452,0.751
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:7CDP4uXu6mkBDzaTOx9yTS,https://p.scdn.co/mp3-preview/cbc9b137bd1080311429d5d9c71c630e5fb9f006?cid=6f8bb3e64c2944d586037b9907043601,Aadat Se Majboor,0.359,3.01E-05,0.629,0.0788,0.101,-7.812,0.836,115.048,0.801
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:2Bn2JQAGZzxe09jFzm1SqJ,https://p.scdn.co/mp3-preview/0506ef7bd1d145ea66ab7131f20b33a758e153db?cid=6f8bb3e64c2944d586037b9907043601,Aaja Nachle,0.417,6.32E-05,0.878,0.177,0.332,-6.879,0.771,120.003,0.84
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:1opxtm6zIv7IF19S0eCtvV,https://p.scdn.co/mp3-preview/baadababc26d1ec9258ddff81d66347fc725d9ec?cid=6f8bb3e64c2944d586037b9907043601,Thug Le,0.0992,2.94E-05,0.788,0.0687,0.103,-5.514,0.768,112.988,0.931
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:6D3vmtskO4RbZP3bBIDY3X,https://p.scdn.co/mp3-preview/07b76c0839ef3a846956b7d68b6cb082e798e56f?cid=6f8bb3e64c2944d586037b9907043601,Chak De India,0.54,1.55E-05,0.894,0.0993,0.141,-8.544,0.755,104.985,0.799
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:2aHz87L2Z4a0ZEQ7vMlH8z,https://p.scdn.co/mp3-preview/0f33d4045f02f73c943fc86bece15661e150aeae?cid=6f8bb3e64c2944d586037b9907043601,Badal Pe Paon Hai,0.0717,0.00232,0.788,0.0373,0.0936,-9.607,0.649,104.999,0.869
Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:4faUCG0CdNgMx0NkMMseOl,https://p.scdn.co/mp3-preview/23090d93cf21af84e7c73225252a433f18d94840?cid=6f8bb3e64c2944d586037b9907043601,Dillagi,0.385,0,0.759,0.047,0.162,-4.029,0.585,139.986,0.512
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:7cWnks0lsRtpAi87COOiXK,https://p.scdn.co/mp3-preview/d60ec3465a3f15080b2a1d7bebd2544ff7621052?cid=6f8bb3e64c2944d586037b9907043601,O Re Piya,0.779,0.000565,0.532,0.0328,0.124,-8.837,0.586,99.994,0.494
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:3nKEiJUeaWn8q2O9I1xwlB,https://p.scdn.co/mp3-preview/1a403c640cb76e48754b1d337fb450185e3771c4?cid=6f8bb3e64c2944d586037b9907043601,Shukran Allah,0.732,0.0014,0.695,0.111,0.274,-8.022,0.432,116.153,0.513
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:74AqVxZ3oXwJ8olHssBUG3,https://p.scdn.co/mp3-preview/963d72761ae997ae55ea43bde7c0c98b1af57906?cid=6f8bb3e64c2944d586037b9907043601,Ainvayi Ainvayi,0.0339,0.0046,0.742,0.0413,0.0928,-7.571,0.689,155.986,0.876
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:5DyYcwMw0f6z3FefXNLOHv,https://p.scdn.co/mp3-preview/095a2e524ed4c5888140873e0c4d0a28c2d25b7b?cid=6f8bb3e64c2944d586037b9907043601,Ishq Hua,0.657,0.00552,0.745,0.108,0.117,-7.914,0.405,87.452,0.751
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:7CDP4uXu6mkBDzaTOx9yTS,https://p.scdn.co/mp3-preview/cbc9b137bd1080311429d5d9c71c630e5fb9f006?cid=6f8bb3e64c2944d586037b9907043601,Aadat Se Majboor,0.359,3.01E-05,0.629,0.0788,0.101,-7.812,0.836,115.048,0.801
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:2Bn2JQAGZzxe09jFzm1SqJ,https://p.scdn.co/mp3-preview/0506ef7bd1d145ea66ab7131f20b33a758e153db?cid=6f8bb3e64c2944d586037b9907043601,Aaja Nachle,0.417,6.32E-05,0.878,0.177,0.332,-6.879,0.771,120.003,0.84
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:1opxtm6zIv7IF19S0eCtvV,https://p.scdn.co/mp3-preview/baadababc26d1ec9258ddff81d66347fc725d9ec?cid=6f8bb3e64c2944d586037b9907043601,Thug Le,0.0992,2.94E-05,0.788,0.0687,0.103,-5.514,0.768,112.988,0.931
Rahat Fateh Ali Khan,Qawwali,spotify:artist:6ohaQzKaXrobAL8paLSaxq,spotify:track:6D3vmtskO4RbZP3bBIDY3X,https://p.scdn.co/mp3-preview/07b76c0839ef3a846956b7d68b6cb082e798e56f?cid=6f8bb3e64c2944d586037b9907043601,Chak De India,0.54,1.55E-05,0.894,0.0993,0.141,-8.544,0.755,104.985,0.799
