Singers,Genre,Artist,TrackURI,Preview,track,acousticness,instrumentalness,energy,speechiness,liveness,loudness,danceability,tempo,valence
Alicia Keys,Blues,spotify:artist:3DiDSECUqqY1AuBP8qtaIa,3unsLiH5FXmaDWtT5Imolu,https://p.scdn.co/mp3-preview/b3dea0edd6e1e3a122f11903463de8d2d9ff3044?cid=b82fb22d072d4120850c99225ff01644,Fallin',0.263,0.00101,0.609,0.037,0.233,-7.519,0.653,95.982,0.482
Bow Wow,Blues,spotify:artist:7352aRY2mqSxBZwzUb6LmA,4F55RCGuM477OjznpYGhYz,https://p.scdn.co/mp3-preview/184328410a0f76e5eb731b29547e044f891c2a96?cid=b82fb22d072d4120850c99225ff01644,Shortie Like Mine (feat. Chris Brown & Johntá Austin),0.0891,0,0.629,0.225,0.169,-8.66,0.763,142.149,0.709
Diddy,Blues,spotify:artist:59wfkuBoNyhDMQGCljbUbA,4h1T8pUzl9VtudWWlVAxxz,https://p.scdn.co/mp3-preview/271f00824c9a2ed12f3ffb105d3a3d181e4251a0?cid=b82fb22d072d4120850c99225ff01644,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2005 Remaster,0.0271,0,0.867,0.0635,0.128,-4.952,0.857,104.382,0.918
Keyshia Cole,Blues,spotify:artist:1vfezMIyCr4XUdYRaKIKi3,49cSN8JC12jp5F5A7yauTf,https://p.scdn.co/mp3-preview/459be5c71da423e632c4f7485fcb49c08a6d23e7?cid=b82fb22d072d4120850c99225ff01644,I've Changed (feat. Keyshia Cole),0.0401,0,0.631,0.198,0.0801,-5.442,0.527,116.405,0.348
Bryson Tiller,Blues,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,6S5dMjMifQYmyTu1mX4f8P,https://p.scdn.co/mp3-preview/01add4393458cd538c9be8f6d241fa10673586af?cid=b82fb22d072d4120850c99225ff01644,Blame,0.0319,4.93E-05,0.38,0.0988,0.12,-8.558,0.73,114.973,0.323
LL Cool J,Blues,spotify:artist:1P8IfcNKwrkQP5xJWuhaOC,2xlnEhQjSCqNPIJX42ARej,https://p.scdn.co/mp3-preview/8838ca3e7bdc6bfcb8ad831d4414d1085de66f4e?cid=b82fb22d072d4120850c99225ff01644,All I Have (feat. LL Cool J),0.271,0,0.669,0.107,0.158,-5.265,0.701,83.066,0.446
T-Pain,Blues,spotify:artist:3aQeKQSyrW4qWr35idm0cy,7g7M96UGiA7OR79H86gV4m,https://p.scdn.co/mp3-preview/1e41eceb57c27fae2ccf29907175a7c2712ee2ee?cid=b82fb22d072d4120850c99225ff01644,U and Dat (feat. T. Pain & Kandi Girl),0.0241,1.80E-06,0.484,0.277,0.123,-7.448,0.858,99.992,0.329
Somethin' For The People,Blues,spotify:artist:1Hu56IprUt6GltqTkpvguI,3TS25nchaYIPb2Y2fw6cbb,https://p.scdn.co/mp3-preview/b5d9603c6903d173b490ac35b7ceecc803f56daa?cid=b82fb22d072d4120850c99225ff01644,My Love Is the Shhh!,0.297,0,0.715,0.0368,0.157,-5.886,0.779,126.036,0.621
Muddy Waters,Blues,spotify:artist:0J7U24vlOOIeMpuaO6Q85A,spotify:track:1wMpTjS9cNpdmxgJloFG30,https://p.scdn.co/mp3-preview/55c06ab6092c93170b568fdbd9fd39fe8c40b12e?cid=6f8bb3e64c2944d586037b9907043601,Forever for Now,0.904,0.00149,0.341,0.0305,0.0953,-10.072,0.547,137.052,0.0647
Ma Rainey,Blues,spotify:artist:1ygXiRxKSfb927vhBH1ruH,spotify:track:3czcSX2L2FmQZX7dQTiEt5,https://p.scdn.co/mp3-preview/4bb1ed796fa0e05a40a825dca840898ed6c32900?cid=6f8bb3e64c2944d586037b9907043601,Prove It On Me Blues,0.995,0.0229,0.271,0.1,0.13,-11.719,0.623,105.085,0.535
